lu,freq,n_sense,LeeNamingAcc,LeeNamingRT
顛,4,0,0.95,750
繃,4,0,1.0,708
綑,4,5,0.85,781
塘,4,0,0.75,640
裱,4,0,0.9,671
勇,4,6,1.0,612
砷,4,0,0.8,858
捎,4,0,0.75,936
擰,4,0,0.85,772
汞,4,1,0.9,814
媚,3,2,0.95,662
鏟,3,0,0.95,736
鱉,3,0,0.85,770
屠,3,1,0.95,717
盹,3,1,0.65,855
蛆,3,0,0.65,867
哮,3,0,0.85,792
糕,3,2,0.9,648
剷,3,0,0.9,742
渣,3,0,0.95,747
簷,3,0,0.35,1102
靴,3,1,0.75,872
鵲,3,2,0.7,1051
剮,3,0,0.4,793
槳,3,0,0.8,872
樟,3,0,0.9,649
狸,3,0,0.95,746
滇,3,2,0.25,810
蛀,3,4,0.9,692
姨,3,3,0.9,673
靛,3,3,0.35,865
畦,3,0,0.2,692
鼬,3,0,0.8,855
馴,3,0,0.8,869
癱,3,4,0.85,715
籮,3,0,0.9,755
佰,3,1,0.75,723
鰭,3,0,0.7,912
募,3,0,0.95,750
摧,3,1,0.95,802
歿,3,1,0.8,766
覆,3,6,0.8,730
剔,3,0,0.9,759
槌,3,3,0.85,817
鰓,3,1,0.65,867
褚,3,1,0.05,730
掐,3,6,0.85,899
攢,3,2,0.6,926
祿,3,0,0.9,787
弒,3,0,0.8,883
妖,3,3,0.95,759
賀,3,3,0.75,622
喧,3,0,0.95,739
拱,3,5,0.9,702
娃,2,4,0.75,677
礫,2,0,0.45,788
冀,2,4,0.7,860
嗄,2,3,0.05,1164
杭,2,4,0.9,923
胰,2,0,0.8,733
偈,2,0,0.35,1002
煨,2,3,0.95,935
喙,2,0,0.6,848
逛,2,1,0.9,680
鎂,2,0,0.9,727
髻,2,1,0.6,877
紀,2,11,0.85,757
悼,2,0,0.5,831
餉,2,0,0.7,927
箸,2,0,0.7,947
櫓,2,0,0.9,856
攙,2,0,0.85,881
綏,2,0,0.35,1039
掂,2,0,0.75,868
錳,2,0,0.9,742
箏,2,0,0.9,780
儂,2,1,1.0,668
閹,2,0,0.8,756
猿,2,1,0.85,657
矽,2,0,0.95,783
篩,2,0,0.8,788
蓬,2,4,0.65,631
贛,2,2,0.7,1135
遛,2,0,0.8,718
鏽,2,4,0.95,826
嚎,2,0,0.9,912
氯,2,1,0.75,831
窟,2,0,0.75,787
舐,2,0,0.25,849
釦,2,3,1.0,692
裁,2,5,0.95,802
癬,2,0,0.85,858
鸞,2,0,0.65,970
譚,2,1,1.0,727
筐,2,0,0.85,898
梗,2,6,0.95,781
緞,2,0,0.9,793
褒,2,2,0.95,833
鯛,2,1,0.75,863
綿,2,13,0.95,684
燴,2,0,0.5,764
貽,2,0,0.85,815
鵰,2,0,0.8,799
權,2,5,0.95,653
斟,2,0,0.75,876
淘,2,5,0.95,737
絆,2,0,0.85,736
啐,2,3,0.4,888
拽,2,3,0.3,847
膿,2,2,0.9,764
氟,2,1,0.45,809
氨,2,1,0.9,746
苛,2,0,0.85,676
凍,1,5,0.95,665
鏢,1,0,0.7,792
壎,1,0,0.05,964
焙,1,0,0.8,835
嗝,1,0,0.85,828
噓,1,2,0.85,790
摜,1,0,0.9,893
鐳,1,0,0.95,667
嗖,1,2,0.8,833
鷺,1,1,0.75,725
扭,1,8,0.95,649
瘍,1,0,0.3,869
縐,1,0,0.55,848
剋,1,2,0.75,673
碴,1,0,0.55,838
銻,1,1,0.65,823
鯉,1,2,0.85,726
堊,1,0,0.55,900
汲,1,0,0.95,769
玖,1,2,0.9,788
俊,1,5,0.95,750
胞,1,0,0.95,724
柚,1,2,1.0,798
誅,1,0,0.95,777
黯,1,0,0.95,721
錨,1,0,0.5,948
陶,1,6,0.95,635
硝,1,0,0.45,788
闔,1,0,0.8,760
抿,1,0,0.7,764
麝,1,0,0.85,969
蛟,1,0,0.95,932
簪,1,0,0.55,831
炷,1,0,0.9,787
籠,1,9,0.9,653
倔,1,1,0.8,888
銖,1,0,0.95,793
苯,1,0,0.95,821
慕,1,0,1.0,599
堪,1,0,0.9,751
噎,1,0,0.6,813
蹼,1,0,0.95,717
嗟,1,5,0.2,1341
漱,1,1,0.75,820
鈸,1,0,0.75,741
虞,1,3,0.9,677
邰,1,1,0.85,762
凱,1,3,1.0,682
譽,1,0,0.9,725
臘,1,0,0.8,632
甄,1,1,0.85,709
杓,1,3,0.65,811
桅,1,1,0.2,880
晏,1,0,0.9,819
裴,1,1,0.45,801
痔,0,1,0.85,869
盔,0,0,0.8,884
爍,0,0,0.65,808
牒,0,0,0.95,759
盎,0,0,0.6,851
焊,0,0,0.9,805
狒,0,0,0.5,712
牯,0,0,0.6,768
痢,0,0,0.95,759
皎,0,0,0.85,805
烴,0,0,0.8,846
皓,0,0,0.8,753
狎,0,0,0.45,911
盂,0,0,0.75,852
祐,0,0,0.85,711
痙,0,0,1.0,842
烊,0,0,0.9,723
碾,0,2,0.35,880
皰,0,0,0.6,797
皙,0,0,0.75,807
牲,0,0,0.8,875
犄,0,0,0.05,1167
犒,0,0,0.45,988
犧,0,0,0.95,864
燾,0,0,0.1,1171
眶,0,2,0.8,791
痼,0,0,0.7,822
瘼,0,0,0.9,902
熔,0,2,0.9,658
煌,0,0,1.0,743
熒,0,0,0.7,728
祀,0,0,0.8,951
瘧,0,0,0.7,805
痍,0,0,0.9,759
礪,0,0,0.9,759
熠,0,0,0.4,956
煲,0,0,0.85,807
礱,0,0,0.4,878
煒,0,0,0.85,705
瘴,0,0,0.95,789
瘰,0,0,0.1,732
眥,0,0,0.55,1068
瘟,0,0,0.75,849
熹,0,0,0.85,876
燼,0,0,0.85,775
瘖,0,0,0.3,1211
煥,0,0,0.9,646
祉,0,0,0.85,883
煇,0,0,0.9,704
瘁,0,0,0.6,770
癲,0,0,0.9,771
瘓,0,0,0.75,764
癩,0,0,0.95,758
磺,0,0,0.85,820
磐,0,0,0.8,845
燧,0,0,0.95,865
癆,0,0,0.8,811
眈,0,0,0.7,707
磯,0,0,0.8,802
燁,0,0,0.15,651
狡,0,0,0.95,763
炳,0,0,0.95,721
狷,0,0,1.0,853
矍,0,0,0.2,1055
琬,0,0,0.95,755
琪,0,0,0.9,713
琨,0,0,0.8,854
瑾,0,0,0.95,733
璀,0,0,0.9,837
琦,0,0,0.85,848
璃,0,0,0.8,717
璉,0,0,0.95,686
琥,0,0,0.9,805
璋,0,0,0.8,729
璐,0,0,0.75,742
督,0,0,0.9,695
矓,0,0,0.9,808
琛,0,0,0.25,873
琇,0,0,0.9,738
璞,0,0,0.85,719
琅,0,0,0.75,822
璠,0,0,0.3,997
珮,0,0,0.9,632
璣,0,0,0.8,796
珪,0,0,0.55,862
睥,0,0,0.55,1031
瞼,0,0,0.55,979
痊,0,0,0.8,800
琮,0,0,0.35,695
瞠,0,0,0.25,1014
瞰,0,0,0.85,989
瑞,0,0,0.75,839
瑣,0,0,0.85,766
瑗,0,0,0.6,778
瞑,0,0,0.8,767
瑋,0,0,0.9,636
瞌,0,0,0.85,714
瑄,0,0,0.9,715
瑪,0,0,0.95,677
睬,0,0,0.95,690
睫,0,0,0.9,778
瑁,0,0,0.05,626
瞳,0,0,1.0,741
瑯,0,0,0.95,675
瑰,0,0,0.8,781
瑱,0,0,0.25,882
琿,0,0,0.2,807
琵,0,0,0.85,765
琰,0,0,0.5,892
琯,0,0,0.95,858
珣,0,0,0.75,868
珞,0,0,0.75,852
璦,0,0,0.9,785
珊,0,0,0.9,794
疇,0,0,0.65,952
疔,0,0,0.65,850
疙,0,0,0.25,878
獗,0,0,0.85,873
疝,0,0,0.9,796
碉,0,0,0.5,929
瑚,0,0,0.75,687
獒,0,0,0.9,856
猾,0,0,0.9,739
猩,0,0,0.9,765
疥,0,0,0.95,871
疫,0,0,0.85,775
碌,0,0,0.85,670
疳,0,0,0.75,949
疵,0,0,0.55,883
猥,0,0,0.9,773
疸,0,0,0.4,1239
猙,0,0,0.95,869
痂,0,0,0.7,900
猖,0,0,0.85,800
碣,0,0,0.25,1038
碇,0,0,0.65,794
畿,0,0,0.85,860
硼,0,2,0.9,751
甥,0,0,0.9,810
珀,0,0,0.35,896
玻,0,3,0.65,876
矚,0,0,0.6,791
玷,0,0,0.4,953
矯,0,0,0.85,848
璨,0,0,1.0,749
瓏,0,0,1.0,663
玕,0,0,0.45,913
瓔,0,0,1.0,712
甸,0,0,0.65,747
硃,0,0,0.85,825
砒,0,0,0.65,911
砣,0,0,0.7,820
獰,0,0,0.95,786
睞,0,0,0.95,723
獪,0,0,0.55,772
畛,0,0,0.8,977
獠,0,0,0.95,775
畸,0,0,0.35,815
砭,0,0,0.7,923
眇,0,0,0.9,927
罈,0,0,0.9,788
炯,0,0,0.9,887
懿,0,0,0.85,811
戡,0,0,0.3,1003
戢,0,0,0.35,856
戽,0,0,0.3,1061
扈,0,0,0.8,826
扞,0,0,0.4,766
扦,0,0,0.9,811
抉,0,2,0.95,784
抨,0,0,0.7,814
拇,0,0,0.8,744
拮,0,0,0.7,977
拯,0,0,0.85,819
拷,0,4,0.9,755
掣,0,0,0.15,1323
措,0,0,0.85,835
揄,0,0,0.95,873
戕,0,0,0.25,933
懾,0,0,0.1,697
灸,0,0,0.75,850
懦,0,0,0.65,913
惘,0,0,0.95,681
惝,0,0,0.6,992
惦,0,0,0.8,848
惲,0,0,0.05,1002
愕,0,0,0.8,724
愜,0,0,0.4,984
愴,0,0,0.25,1014
慫,0,0,0.65,825
慳,0,0,0.05,829
慵,0,0,0.9,794
憔,0,0,0.85,870
憧,0,0,0.25,1189
憬,0,0,0.95,874
懊,0,0,0.9,812
懍,0,0,0.65,781
揆,0,0,0.95,734
搪,0,0,0.9,800
搯,0,0,0.45,868
搵,0,0,0.5,1106
暉,0,0,0.9,689
暝,0,0,0.75,833
曄,0,0,0.3,956
曖,0,0,0.9,757
曙,0,0,0.6,837
曜,0,0,0.65,858
曦,0,0,0.7,897
朦,0,0,1.0,674
朧,0,0,0.95,760
杞,0,0,0.5,907
杼,0,0,0.15,946
枇,0,0,0.8,933
枋,0,0,0.95,919
枸,0,0,0.4,896
柙,0,0,0.1,1105
暄,0,0,0.9,724
晰,0,0,0.75,820
晡,0,0,0.4,846
敕,0,5,0.1,509
摯,0,0,0.8,872
撓,0,0,0.6,827
撻,0,0,0.5,823
擘,0,0,0.2,1095
擢,0,0,0.85,959
攣,0,0,0.85,775
斌,0,0,0.8,790
昶,0,0,0.25,831
斕,0,0,0.9,868
斛,0,0,0.6,935
旌,0,0,0.15,1014
旭,0,3,0.8,908
旻,0,0,0.45,767
昱,0,0,0.65,799
惕,0,0,0.8,717
惋,0,0,0.9,835
惇,0,0,0.2,730
廩,0,0,0.4,882
嶄,0,0,0.9,811
嶇,0,0,0.8,938
嶙,0,0,0.85,812
嶼,0,2,0.95,784
巉,0,0,0.95,954
帑,0,0,0.15,907
帕,0,0,0.8,711
帙,0,0,0.2,889
幄,0,0,0.85,891
幔,0,0,0.9,762
幡,0,0,0.35,840
庖,0,2,0.45,827
庾,0,0,0.85,795
廓,0,0,0.75,752
廝,0,0,0.85,799
嶂,0,0,1.0,761
嵯,0,0,0.55,980
嵬,0,0,0.1,1079
崎,0,0,0.75,768
岱,0,0,0.8,721
岷,0,0,0.9,817
峙,0,0,0.25,976
峨,0,0,0.95,779
峪,0,0,0.15,970
崆,0,0,0.75,965
崑,0,0,0.9,740
嵩,0,0,0.7,998
崙,0,0,0.95,759
崛,0,0,0.75,850
崢,0,0,0.8,972
崧,0,0,0.95,738
嵋,0,0,0.75,681
嵎,0,0,0.8,801
廨,0,0,0.55,1172
弭,0,3,0.55,887
惆,0,0,0.9,806
彀,0,0,0.15,745
怩,0,0,0.9,830
恁,0,0,0.55,800
恂,0,0,0.9,960
恢,0,0,0.9,628
恣,0,0,0.9,815
恬,0,0,0.9,731
恿,0,0,0.7,933
悃,0,0,1.0,885
悄,0,0,0.85,716
悒,0,0,0.65,905
悚,0,0,0.5,934
悴,0,0,0.8,833
悵,0,0,0.5,898
悻,0,0,0.9,749
悽,0,0,0.9,764
怦,0,0,0.8,792
怛,0,0,0.05,901
怙,0,0,0.25,946
徬,0,0,0.9,771
彪,0,0,0.9,802
彫,0,0,0.45,1000
彿,0,0,0.75,792
徉,0,0,0.65,896
徜,0,0,0.5,970
徨,0,0,0.9,679
徯,0,0,0.8,800
怖,0,0,0.9,688
徼,0,0,0.4,975
忡,0,0,0.6,935
忪,0,0,0.9,856
忱,0,1,0.45,894
忸,0,0,0.85,791
怏,0,0,0.75,841
柢,0,0,0.55,901
柵,0,0,0.55,813
桂,0,4,0.8,688
渙,0,0,0.9,784
涇,0,0,0.8,808
涑,0,0,0.75,929
涓,0,0,1.0,791
涕,0,0,0.95,707
涯,0,0,0.55,731
涿,0,0,0.5,964
淅,0,0,0.7,841
淇,0,0,1.0,726
淑,0,0,0.9,773
淙,0,0,0.35,860
祟,0,0,0.3,862
淞,0,0,0.95,792
淪,0,0,0.95,671
淬,0,0,0.5,872
淳,0,0,0.8,814
浹,0,0,0.45,875
浩,0,3,0.85,745
浦,0,0,0.65,773
泯,0,2,0.85,719
沚,0,0,0.8,916
沫,0,0,0.9,705
沬,0,0,0.05,653
沮,0,0,0.8,793
泗,0,0,0.85,888
泮,0,0,0.3,877
泱,0,0,0.95,869
浣,0,0,0.9,798
洄,0,0,0.8,892
洌,0,0,0.85,810
洙,0,0,0.75,854
洶,0,0,0.8,882
浚,0,0,0.8,800
浡,0,0,0.65,889
淶,0,0,0.9,683
渚,0,0,0.3,959
沅,0,0,0.35,731
渥,0,0,0.8,789
澄,0,3,1.0,835
澈,0,0,0.8,720
澗,0,0,0.8,847
澧,0,0,0.8,806
澱,0,0,1.0,713
濛,0,0,0.9,654
濠,0,0,1.0,788
濯,0,0,0.7,899
瀆,0,0,0.8,856
瀋,0,0,0.8,910
瀘,0,0,0.55,792
瀧,0,0,0.85,793
瀨,0,0,0.95,731
瀾,0,0,0.9,733
灃,0,0,0.9,818
潦,0,0,0.95,750
潢,0,0,0.85,812
漚,0,0,0.2,1010
溟,0,0,0.9,779
渦,0,0,0.9,818
渭,0,0,0.85,823
渲,0,0,0.95,901
湎,0,0,0.8,831
湛,0,0,0.2,936
溉,0,0,0.9,829
溥,0,0,0.1,751
漕,0,0,0.85,831
溽,0,0,0.9,853
滂,0,0,0.7,752
滄,0,0,0.8,775
滔,0,1,0.85,651
漉,0,0,0.95,748
漓,0,0,1.0,758
沌,0,0,0.6,963
沃,0,3,0.7,788
桄,0,0,0.3,998
檜,0,0,0.85,819
楬,0,0,0.3,790
楸,0,0,0.4,973
榔,0,0,0.9,760
榕,0,1,0.95,658
榛,0,0,0.75,836
榭,0,0,0.9,892
榷,0,0,0.7,847
槁,0,0,0.6,848
槃,0,0,0.55,851
槎,0,0,0.15,1197
槿,0,0,0.8,763
樵,0,0,0.8,780
樺,0,0,0.95,799
橄,0,0,0.85,784
橡,0,0,0.8,797
楣,0,0,0.9,702
楝,0,0,0.35,802
椰,0,0,0.95,703
梓,0,0,0.5,894
桉,0,0,0.9,794
桎,0,0,0.95,834
桐,0,0,0.95,750
桓,0,0,0.8,861
梆,0,0,0.85,662
梏,0,0,0.15,946
梢,0,4,0.65,833
椒,0,0,0.75,825
梧,0,0,0.8,889
棠,0,0,0.95,719
棣,0,0,0.15,720
棨,0,0,0.55,1089
棼,0,0,0.75,907
椏,0,0,0.95,712
檄,0,0,0.2,805
檬,0,0,0.9,691
汾,0,0,0.8,857
檳,0,0,0.95,792
毽,0,0,0.75,862
氈,0,1,0.5,884
氓,0,0,0.65,824
氛,0,0,1.0,834
氤,0,0,0.75,899
氬,0,0,0.95,813
氰,0,0,0.75,922
氳,0,0,0.2,862
氾,0,0,0.9,786
汀,0,0,0.1,776
汊,0,0,0.55,1157
汐,0,0,0.95,739
汕,0,0,0.95,871
汜,0,0,0.55,1004
汶,0,0,0.95,740
毯,0,1,0.85,722
毬,0,0,0.85,801
毗,0,0,0.7,811
殄,0,0,0.2,991
檸,0,0,0.9,745
櫟,0,0,0.15,1047
櫪,0,0,0.85,758
櫬,0,0,0.75,793
欒,0,0,0.6,916
欖,0,0,0.95,789
殖,0,0,0.9,746
毅,0,0,0.95,742
殛,0,0,0.7,839
殞,0,0,0.6,899
殤,0,0,0.95,810
殪,0,0,0.4,834
殭,0,0,1.0,723
殮,0,0,0.55,935
祜,0,0,0.1,951
胼,0,0,0.35,898
祺,0,0,0.9,745
禎,0,0,0.85,816
鞦,0,0,0.7,904
韃,0,0,0.6,804
韙,0,0,0.65,955
韞,0,0,0.25,794
頇,0,0,0.2,971
頑,0,3,0.9,735
顗,0,0,0.15,889
顥,0,0,0.2,867
顴,0,0,0.35,1167
颯,0,2,0.6,858
颶,0,0,0.95,894
飩,0,0,0.2,741
飪,0,0,0.9,879
飴,0,0,0.85,746
餃,0,0,0.9,695
靼,0,0,0.25,709
靚,0,0,0.4,837
靄,0,0,0.8,876
隴,0,4,0.95,761
閾,0,0,0.55,841
闇,0,0,0.7,876
闈,0,0,0.8,844
陲,0,0,0.75,827
隕,0,0,0.75,944
隘,0,0,0.25,1107
雯,0,0,0.85,691
霽,0,0,0.25,713
雹,0,0,0.4,860
霄,0,0,0.9,873
霆,0,0,0.95,784
霎,0,0,0.5,740
霏,0,0,1.0,809
霓,0,0,0.8,758
餛,0,0,0.4,1043
餬,0,0,0.95,790
餽,0,0,0.8,862
髹,0,0,0.55,1112
骰,0,0,0.5,851
骷,0,0,0.7,854
骸,0,0,0.95,777
骼,0,0,0.9,884
髏,0,0,0.7,804
髯,0,0,0.8,927
鬩,0,0,0.35,1210
驩,0,0,0.25,831
魁,0,0,0.9,702
魅,0,0,0.9,676
魍,0,0,0.6,781
魎,0,0,0.65,818
魘,0,0,0.75,752
魴,0,0,0.7,767
骯,0,0,0.65,854
驤,0,0,0.15,813
餾,0,0,0.95,859
駟,0,0,0.9,829
餿,0,0,0.75,818
饅,0,0,0.9,737
饉,0,0,0.85,922
饋,0,0,0.9,768
馗,0,0,0.55,993
馥,0,0,0.85,779
駢,0,0,0.25,1025
驊,0,0,0.8,880
駸,0,0,0.75,736
駿,0,0,0.95,794
騏,0,0,0.95,827
騫,0,0,0.6,1015
驁,0,0,0.6,851
驃,0,0,0.65,965
閽,0,0,0.75,894
閭,0,0,0.8,848
閫,0,0,0.85,930
酵,0,0,0.9,807
鄺,0,1,0.2,898
酆,0,1,0.85,819
酈,0,2,0.9,901
酡,0,0,0.8,795
酩,0,0,0.9,793
酯,0,0,0.8,805
醍,0,0,0.9,753
鄔,0,1,0.9,802
醞,0,0,0.75,833
醪,0,0,0.05,925
醺,0,0,0.95,702
釜,0,0,1.0,827
釧,0,2,0.75,853
鈐,0,0,0.05,924
鄲,0,0,0.35,988
鄂,0,0,0.85,792
鉑,0,0,0.85,842
邂,0,0,0.8,853
逅,0,0,0.45,744
逍,0,0,0.8,804
逵,0,0,0.15,928
遄,0,0,0.3,855
遒,0,0,0.15,883
遴,0,0,0.65,643
邈,0,0,0.65,861
郅,0,0,0.8,931
邋,0,0,0.8,799
邏,0,0,0.9,697
邐,0,0,0.5,778
邕,0,0,0.15,973
邢,0,1,0.75,853
邯,0,0,0.35,1128
鈿,0,0,0.25,843
鉦,0,0,0.9,861
閤,0,0,0.1,742
鐺,0,0,0.85,818
鏗,0,0,0.1,894
鏜,0,0,0.9,717
鏞,0,0,0.95,826
鏤,0,0,0.45,838
鐙,0,0,0.75,893
鐸,0,0,0.25,833
鐿,0,0,0.95,787
鏑,0,0,0.55,820
鑊,0,0,0.7,885
鑌,0,0,0.75,898
鑠,0,0,0.4,850
鑾,0,0,0.9,789
閔,0,0,0.7,828
閡,0,0,0.3,917
鏖,0,0,0.05,1238
鎰,0,0,0.85,859
銓,0,0,1.0,769
錡,0,1,0.95,934
銨,0,0,0.9,761
鋌,0,0,0.9,684
鋕,0,0,0.9,757
錕,0,0,0.9,861
錚,0,0,0.85,902
錠,0,0,0.85,774
錮,0,0,0.75,753
鎧,0,0,0.65,896
鍇,0,0,0.35,653
鍔,0,0,0.9,796
鍛,0,0,0.95,757
鍰,0,0,0.65,795
鍶,0,0,0.6,853
鎔,0,0,0.9,745
鮫,0,0,0.85,768
鮭,0,0,0.8,754
鯁,0,0,0.8,905
柜,0,0,0.9,903
覲,0,0,0.75,968
仆,0,0,0.85,812
卲,0,0,0.75,1000
杠,0,0,0.35,1123
佌,0,0,0.3,1064
咨,0,0,0.8,877
苹,0,0,0.95,783
嫵,0,0,0.35,806
奘,0,0,0.35,831
淀,0,0,0.1,748
荳,0,0,1.0,729
荸,0,0,0.65,1087
勛,0,0,0.45,955
牋,0,0,0.6,978
沆,0,0,0.15,887
撙,0,0,0.9,954
雰,0,0,0.75,749
璜,0,0,0.85,684
輊,0,0,0.8,811
侏,0,0,0.85,790
剄,0,0,0.8,886
赳,0,0,0.75,828
鈽,0,0,0.8,845
蕞,0,0,0.25,951
騖,0,0,0.85,841
槨,0,0,0.7,871
鶩,0,0,0.7,887
筧,0,0,0.05,1118
緘,0,0,0.65,895
顢,0,0,0.5,1005
衲,0,3,0.7,781
乩,0,0,0.65,889
酢,0,0,0.35,962
塭,0,0,0.7,950
揶,0,0,0.85,677
騧,0,0,0.05,702
燐,0,0,0.5,789
蕘,0,0,0.15,894
遶,0,0,0.35,914
糢,0,0,0.9,893
壢,0,0,0.8,664
醱,0,0,0.55,941
孃,0,1,0.75,954
蝎,0,0,0.2,886
譟,0,0,0.8,739
鬒,0,0,0.35,884
纍,0,0,0.95,759
衊,0,0,0.8,813
纑,0,0,0.75,721
黰,0,0,0.35,813
銲,0,0,0.9,765
蓿,0,0,1.0,914
暌,0,0,0.95,770
慓,0,0,0.7,746
溘,0,0,0.5,916
痱,0,0,0.95,901
痲,0,0,0.85,651
痺,0,0,0.75,993
腩,0,0,0.8,663
嘀,0,0,0.55,835
蒡,0,0,0.45,695
熛,0,0,0.25,964
銤,0,0,0.95,824
銧,0,0,0.8,805
僾,0,0,0.85,870
慼,0,0,0.75,795
摰,0,0,0.95,830
槤,0,0,0.95,698
舢,0,0,1.0,827
潼,0,0,0.9,727
鯖,0,0,0.15,1031
鷙,0,0,0.6,864
鵪,0,0,0.15,1095
鶉,0,0,0.35,957
鶼,0,0,0.55,968
鷂,0,0,0.65,777
鷓,0,0,0.3,926
鷗,0,1,0.8,734
鸕,0,0,0.6,873
鵑,0,0,0.9,839
鸚,0,0,0.75,807
麒,0,0,0.85,864
麓,0,0,0.6,768
麟,0,0,0.95,694
麩,0,0,0.6,923
麾,0,0,0.15,761
鵠,0,0,0.35,992
鴦,0,0,0.75,758
黝,0,0,0.7,926
鰾,0,0,0.35,895
鯧,0,0,0.9,812
鰈,0,1,0.85,748
鰍,0,1,0.85,773
鰜,0,0,0.35,787
鰱,0,0,1.0,812
鰲,0,0,0.65,804
鱔,0,0,0.85,875
鴣,0,0,0.6,876
鱧,0,0,0.65,906
鱸,0,0,0.45,760
鳩,0,0,0.8,852
鴒,0,0,0.5,930
鴕,0,0,1.0,678
鴛,0,0,0.85,764
黜,0,0,0.35,848
黠,0,0,0.05,893
醐,0,0,0.8,743
徠,0,0,0.95,764
逑,0,0,0.95,815
轅,0,0,0.95,744
牘,0,0,0.8,881
餞,0,0,0.9,851
肛,0,0,1.0,788
妁,0,0,0.1,1105
圄,0,0,0.1,1357
祥,0,4,0.85,769
擻,0,0,0.55,821
訶,0,0,0.25,1036
珈,0,0,0.8,791
踊,0,0,0.75,796
珂,0,0,0.9,787
佼,0,0,0.95,755
鵡,0,0,0.75,823
迤,0,0,0.35,965
黥,0,0,0.75,820
喃,0,0,0.95,689
黷,0,0,0.65,916
齟,0,0,0.25,736
齦,0,0,0.75,817
齬,0,0,0.15,988
齷,0,0,0.7,957
徹,0,0,0.95,713
咪,0,0,0.85,636
靂,0,0,0.85,904
迦,0,0,0.7,742
淤,0,0,0.7,754
坷,0,0,0.85,676
迸,0,0,0.15,834
烷,0,0,0.85,807
瑙,0,0,0.95,690
迥,0,0,0.55,875
迢,0,0,0.4,857
轘,0,0,0.7,776
苒,0,0,0.7,914
芥,0,3,0.9,779
芬,0,0,0.8,619
芭,0,4,0.9,697
芮,0,1,0.55,982
芷,0,0,0.9,766
苑,0,0,0.5,747
苓,0,0,0.8,779
芋,0,0,0.95,810
苡,0,0,0.9,924
苣,0,0,0.8,819
苧,0,0,0.1,893
苴,0,0,0.15,851
茉,0,0,0.95,633
茨,0,0,0.6,987
芙,0,0,0.95,824
芊,0,0,0.8,809
茯,0,0,0.9,800
臆,0,0,0.9,758
腱,0,0,0.95,722
腴,0,0,0.95,770
膈,0,0,0.85,855
膊,0,0,0.8,819
膛,0,2,0.9,742
臃,0,0,0.95,779
臍,0,0,0.5,879
艋,0,0,0.95,796
臏,0,0,0.95,872
臠,0,0,0.75,938
舨,0,0,0.65,947
舫,0,0,0.95,824
舶,0,0,0.9,827
舺,0,0,0.7,957
茭,0,0,0.8,835
茴,0,0,0.6,869
岑,0,0,0.7,789
葭,0,0,0.25,895
萊,0,0,0.9,687
萱,0,0,0.95,768
萵,0,0,0.8,869
萼,0,0,0.9,835
葆,0,0,0.8,707
葫,0,0,0.8,649
葵,0,0,1.0,709
菽,0,0,0.65,880
葺,0,0,0.1,1029
蒹,0,0,0.75,991
蓀,0,0,1.0,818
蓁,0,0,0.6,844
蓉,0,0,0.9,706
蓍,0,0,0.15,689
萄,0,0,0.3,891
菴,0,0,0.2,934
茸,0,0,0.6,865
莞,0,0,0.9,748
荀,0,0,0.6,961
荃,0,0,1.0,828
荼,0,0,0.65,847
莆,0,0,0.5,788
莒,0,0,0.4,952
莓,0,0,0.85,673
莪,0,0,0.3,1027
菱,0,0,0.9,715
菁,0,0,0.95,728
菅,0,0,0.45,1051
菖,0,0,0.9,831
菘,0,0,0.95,741
菠,0,0,0.55,829
菩,0,0,0.95,783
腆,0,0,0.3,893
胳,0,0,0.6,897
蔓,0,0,0.95,718
簾,0,0,1.0,624
笳,0,0,0.15,926
筵,0,0,0.85,759
箋,0,0,0.15,900
箴,0,0,0.35,983
簏,0,0,0.8,849
簣,0,1,0.65,826
粑,0,0,0.4,1008
笈,0,0,0.75,858
粱,0,0,0.9,787
粹,0,0,0.75,788
粽,0,2,1.0,764
糜,0,0,0.65,791
糯,0,0,0.55,870
紉,0,0,0.95,893
笠,0,0,0.85,731
笆,0,0,0.75,834
紕,0,0,0.9,862
窒,0,0,0.85,787
禰,0,0,0.1,773
秣,0,0,0.6,830
稔,0,0,0.35,791
稞,0,0,0.45,885
穰,0,0,0.7,976
窈,0,0,0.6,853
窕,0,0,0.15,1034
竽,0,0,0.75,781
窠,0,0,0.3,887
窬,0,0,0.8,978
竅,0,2,0.85,790
竇,0,0,0.85,769
竣,0,0,0.95,788
竦,0,0,0.15,1128
紊,0,0,0.55,728
紘,0,0,0.65,867
胱,0,0,0.65,847
耦,0,0,0.2,919
羯,0,0,0.7,851
翊,0,0,0.75,867
翎,0,0,0.7,772
翡,0,0,0.8,764
翳,0,0,0.75,788
耘,0,0,0.85,720
耬,0,0,0.7,980
羚,0,0,0.9,712
聒,0,0,0.75,759
肄,0,0,0.3,934
肪,0,0,0.9,898
胛,0,0,0.75,871
胝,0,0,0.2,903
胭,0,0,0.55,907
羝,0,0,0.5,752
纓,0,0,0.9,746
紜,0,0,0.9,745
緹,0,0,1.0,797
紬,0,0,0.1,1090
紺,0,0,0.6,1076
綃,0,0,0.25,790
緋,0,0,1.0,816
締,0,0,0.9,749
緲,0,0,0.95,718
縊,0,0,0.7,867
繽,0,0,1.0,808
縑,0,0,0.35,879
縝,0,0,0.75,971
縟,0,0,0.85,828
縭,0,0,0.8,838
縹,0,0,0.55,874
繕,0,0,0.9,818
